iter	RMSE
0	255.5483035
1	252.1727428
2	249.1719322
3	245.7037383
4	242.2162546
5	239.4369299
6	237.0689998
7	235.469808
8	232.1214255
9	228.7251394
10	227.154768
11	224.7559784
12	222.4888922
13	219.8446443
14	217.5254127
15	215.2578274
16	213.5209257
17	211.8723879
18	210.2804757
19	208.6978924
20	206.6672866
21	204.3006715
22	202.6015317
23	200.8739178
24	199.5604275
25	198.1964926
26	196.7650619
27	195.858682
28	194.532966
29	193.4336219
30	192.2403288
31	190.9892822
32	189.5836181
33	187.8481424
34	186.3961765
35	185.3307744
36	184.4337109
37	183.5238542
38	182.7576804
39	181.4431729
40	180.2867194
41	178.9919262
42	177.7224808
43	176.9089872
44	176.4739197
45	175.9791455
46	175.1248191
47	174.1630891
48	173.3601434
49	173.1793442
50	172.6412389
51	172.1069919
52	171.3932282
53	170.525984
54	169.2394627
55	168.2692972
56	167.818103
57	166.6283238
58	165.890498
59	164.8851901
60	163.9422018
61	163.1060161
62	162.3785851
63	162.131445
64	161.7591399
65	161.288475
66	160.6152497
67	159.7518151
68	158.8077462
69	158.2074141
70	156.7944992
71	156.1295031
72	155.5420805
73	154.3510914
74	153.6060826
75	153.0467221
76	152.7230522
77	152.1110858
78	151.4744668
79	150.954785
80	150.26353
81	149.2483371
82	148.7744273
83	148.4288866
84	147.8083404
85	146.8946893
86	146.5831261
87	146.1066636
88	144.9789582
89	144.7094105
90	144.0108206
91	143.2717208
92	142.2767878
93	141.7857507
94	141.2501328
95	140.8083092
96	139.8362409
97	139.1266349
98	138.7907966
99	138.3711395
100	138.1409066
101	137.7368555
102	136.9735729
103	136.537225
104	136.2161707
105	136.0659589
106	135.4218651
107	134.7191459
108	133.7925488
109	133.0994305
110	132.6977773
111	132.3487931
112	131.4851955
113	131.078633
114	130.8417128
115	130.0865946
116	129.5172836
117	129.1145629
118	128.8332749
119	128.2539822
