iter	Passed	Remaining
0	144	17224
1	145	8594
2	146	5721
3	147	4274
4	148	3418
5	149	2841
6	150	2432
7	151	2119
8	152	1878
9	153	1684
10	154	1526
11	154	1392
12	155	1279
13	156	1182
14	156	1097
15	157	1026
16	158	961
17	159	903
18	160	850
19	160	803
20	161	761
21	162	723
22	163	687
23	163	655
24	164	625
25	165	596
26	165	571
27	166	547
28	167	525
29	168	504
30	168	484
31	169	466
32	170	448
33	170	432
34	171	416
35	172	402
36	173	388
37	173	374
38	174	362
39	175	350
40	175	338
41	176	328
42	177	317
43	178	307
44	178	298
45	179	289
46	180	280
47	181	272
48	182	263
49	182	255
50	183	248
51	184	241
52	185	234
53	185	227
54	186	220
55	187	214
56	188	208
57	189	202
58	189	196
59	190	190
60	191	184
61	191	179
62	192	174
63	193	169
64	194	164
65	195	159
66	195	155
67	196	150
68	197	146
69	198	141
70	199	137
71	199	133
72	200	129
73	201	125
74	202	121
75	203	117
76	203	113
77	204	110
78	205	106
79	206	103
80	207	99
81	207	96
82	208	93
83	209	89
84	210	86
85	211	83
86	211	80
87	212	77
88	213	74
89	214	71
90	215	68
91	216	65
92	217	63
93	217	60
94	218	57
95	219	54
96	220	52
97	221	49
98	222	47
99	222	44
100	223	42
101	224	39
102	225	37
103	226	34
104	227	32
105	228	30
106	229	27
107	230	25
108	231	23
109	231	21
110	232	18
111	233	16
112	234	14
113	235	12
114	236	10
115	236	8
116	237	6
117	238	4
118	239	2
119	240	0
